hh_id;internet;car;emergency;holiday;friends;meat;leisure;furniture;clothes;heating;money;shoes
94;1;1;0;0;0;0;0;NA;0;0;0;0
230;0;0;0;0;0;0;0;0;0;0;0;0
65889;0;NA;0;0;NA;0;0;0;0;0;0;0
523;0;0;0;0;NA;0;NA;NA;0;0;0;0
125466;0;0;0;0;0;0;0;0;0;0;0;0
105600;0;0;0;0;0;0;0;0;0;0;0;0
124737;0;0;0;0;0;0;0;0;0;0;0;0
107727;0;0;0;0;0;0;0;0;0;0;0;0
1015;0;0;1;0;0;0;0;1;0;0;0;0
1228;0;0;1;0;0;0;0;1;0;0;0;0
109207;0;0;1;0;NA;0;NA;NA;0;NA;NA;0
65218;0;0;0;0;0;0;0;0;0;0;0;0
1392;0;0;0;0;0;0;0;0;0;0;0;0
89346;0;0;0;0;0;0;0;0;0;0;0;0
1643;0;0;0;0;0;0;0;0;0;0;0;0
71480;0;1;NA;NA;0;0;0;1;0;0;0;0
95010;0;0;0;0;0;0;0;0;0;0;0;0
116491;0;0;0;0;0;0;0;0;0;0;0;0
1767;0;0;0;0;0;0;0;0;0;0;0;0
1791;0;0;NA;NA;NA;0;NA;NA;0;0;0;0
1880;0;0;0;0;0;0;0;0;0;0;0;0
97055;0;0;0;1;0;0;1;0;0;0;0;0
137669;0;0;0;0;0;0;0;0;0;0;0;0
1929;0;0;0;0;0;0;0;0;0;0;0;0
2232;0;0;1;1;1;0;1;1;1;0;0;0
91910;0;0;0;0;0;0;0;0;0;0;0;0
114502;0;0;0;0;0;0;0;0;0;0;0;0
129097;1;0;1;1;0;0;0;1;0;0;0;0
85960;0;0;0;0;0;0;0;0;0;0;0;0
2267;0;0;0;0;0;0;0;0;0;0;0;0
2399;0;0;0;0;0;0;0;0;0;0;0;0
88315;0;0;0;0;0;0;0;0;0;0;0;0
2437;0;0;1;1;0;0;0;0;0;0;1;0
107573;0;0;0;0;0;0;0;0;0;0;0;0
70149;0;0;0;0;0;0;0;0;0;0;0;0
88072;0;0;0;0;0;0;0;0;0;0;0;0
2755;0;0;0;0;0;0;0;0;0;0;0;0
2887;0;0;0;0;0;0;0;0;0;0;0;0
